IDN_PIECE;CODE_ECOLE;CODE_PIECE;REDRESSEMENT;ETAGE;IAC_MERE;ANNEE;PERIODE;PERIODE_CONSTR_5CL;SURFACE_SOL;SURFACE_PLAFOND;SURFACE_MURS;VOLUME;N_TPS_PS;N_MS;N_GS;N_CP;N_CE1;N_CE2;N_CM1;N_CM2;N_CLIS;N_CLIN;N_TOTAL;MATERIAU;AUTRE_MATERIAU;RENOVATION_12_MOIS;PEINT_INT;DECAP;PAPIER_PEINT;MOQUETTE;SOLS_PLASTIC;CARRELAGE;PARQUET_MASSIF;PARQUET_MASSIF_VITR;STRATIFIE;AUT_TRAVAUX;QUELS_AUTRES_TRAVAUX;REHABILITATION_10_ANS;FREQ_NETT_VITRE;FREQ_NETT_SOL_SEC;FREQ_NETT_SOL_HUMIDE;FREQ_NETT_MOB_SEC;FREQ_NETT_MOB_HUMIDE;INFILTRA_SDC_12;DEGAT_EAU_SDC_12;INFILTRA_BAT_12;DEGAT_EAU_BAT_12;CONDENS_PERSIS;TACHES_HUMID;SALPETRE;ODEUR_MOISI;MOISI_VISIB;MOISI_SUPERF;HUMID_VISIB;REVETEMENT_MUR;REVETEMENT_PLAFOND;REVETEMENT_SOL;PRES_TAPIS_MOQUET_SOL;POURC_TAPIS_MOQUET_SOL;N_MOB_MASSIF;N_MOB_RECONS;N_MOB_MIXTE;N_MOB_PLASTIQUE;TYPE_VITRAGE;SURF_VITREE;SYSTEME_MERE;VN_FILLE;VMC_FILLE;N_EXTRACT;N_SOUFFL;PRESENCE_GRILLE_TRANSFERT;PRESENCE_AIR_NEUF;N_ENTREE_AIR_NEUF;PRESENCE_GRIL_AERATION;N_GRIL_AERATION;DETALONNAGE;VENTILATION;VENTILATION_FCT;TYPE_TABLEAU;P_ORDI;P_IMPRIM;P_TV;CHAUFFAGE;SAISON_CHAUFFE
EE06ANP239_SDC1;EE06ANP239;SDC1;Oui;0;NA;NA;NA;NA;50,3;50,3;76,9;140;0;0;0;0;26;0;0;0;0;0;26;Autre;béton armé;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Plastique, PVC, linoléum;Non;sans objet;0;60;0;1;Simple;9,48;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Non;Non;Oui, tout le temps;Chauffe
EE06ANP239_SDC2;EE06ANP239;SDC2;Oui;0;NA;NA;NA;NA;54;54;81,6;161;0;0;0;0;0;6;12;0;0;0;18;Autre;béton armé;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Oui;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Peinture, papier peint, vinyle, toile de verre;Carrelage;Non;sans objet;1;50;0;1;Simple;10,28;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Non;Non;Oui, tout le temps;Chauffe
EE06GAE230_SDC1;EE06GAE230;SDC1;Oui;1;Oui, date exacte;1990;sans objet;Entre 1982 et 2002;48;53,6;71,1;170;0;0;0;0;0;6;17;0;0;0;23;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;1 à 5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Non;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Plastique, PVC, linoléum;Non;sans objet;1;26;39;2;Simple;7,92;VN;sur une même façade;sans objet;sans objet;sans objet;Non;Oui;1;Non;sans objet;Non;Aucun système;Aucun système;BLANC-FEUTRE;Non;Non;Oui;Non;Hors-chauffe
EE06GAE230_SDC2;EE06GAE230;SDC2;Oui;1;Oui, date exacte;1990;sans objet;Entre 1982 et 2002;48;53,6;71,3;170;0;0;0;0;0;0;0;26;0;0;26;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;1 à 5 fois par an;>=1 fois par jour;>1 fois par semaine;Jamais;>1 fois par semaine;Non;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Plastique, PVC, linoléum;Non;sans objet;0;56;0;0;Simple;11,94;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Oui;1;Non;sans objet;Non;Aucun système;Aucun système;BLANC-FEUTRE;Non;Non;Non;Non;Hors-chauffe
EE06GRL225_SDC1;EE06GRL225;SDC1;Oui;1;Oui, date exacte;1966;sans objet;Entre 1949 et 1967;54,7;54,7;83,8;154;0;0;0;0;25;0;0;0;0;0;25;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Non;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;<=1 fois par semaine;Non;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;1;76;0;2;Simple;11,92;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Oui;Non;Non;Hors-chauffe
EE06GRL225_SDC2;EE06GRL225;SDC2;Oui;2;Oui, date exacte;1966;sans objet;Entre 1949 et 1967;54,8;54,8;87,2;161;0;0;0;0;0;0;12;15;0;0;27;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Non;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;<=1 fois par semaine;Non;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;2;66;0;5;Simple;12;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Oui;Non;Non;Hors-chauffe
EE06NIA222_SDC1;EE06NIA222;SDC1;Oui;3;Connais approxi;sans objet;Entre 1949 et 1961;Entre 1949 et 1967;56;56;79,4;148;0;0;0;0;0;21;0;0;0;0;21;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Non;NA;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Ne sait pas;Non;Oui;Oui;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;2;71;0;2;Simple;5,28;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Non;Non;Oui, la plupart du temps;Chauffe
EE06NIA222_SDC2;EE06NIA222;SDC2;Oui;3;Connais approxi;sans objet;Entre 1949 et 1961;Entre 1949 et 1967;57,7;54,7;77,9;143;0;0;0;0;0;23;0;0;0;0;23;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Non;NA;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Ne sait pas;Non;Oui;Oui;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;1;69;0;4;Simple;5,28;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;MAT-CRAIE;Oui;Non;Non;Oui, tout le temps;Chauffe
EE07CSC204_SDC1;EE07CSC204;SDC1;Oui;1;Connais approxi;sans objet;Entre 1975 et 1981;Entre 1968 et 1981;63;62;88;171;0;0;0;5;24;0;0;0;0;0;29;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Non;Non;Non;Non;Non;Non;Non;Non;Non;sans objet;Non;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;3;40;0;0;Double;7;Aucun système;sans objet;sans objet;sans objet;sans objet;Non;Non;sans objet;Non;sans objet;Oui;Aucun système;Aucun système;BLANC-FEUTRE;Oui;Oui;Non;Non;Chauffe
EE07CSC204_SDC2;EE07CSC204;SDC2;Oui;1;Connais approxi;sans objet;Entre 1975 et 1981;Entre 1968 et 1981;63,6;63,6;90,4;179;0;0;0;0;0;0;25;0;0;0;25;Béton Parpaing;sans objet;Non;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;Oui;>5 fois par an;>=1 fois par jour;>1 fois par semaine;>1 fois par semaine;>1 fois par semaine;Non;Non;Non;Non;Non;Oui;Non;Non;Non;sans objet;Oui;Peinture, papier peint, vinyle, toile de verre;Faux-plafond;Carrelage;Non;sans objet;1;50;0;0;Double;5,84;VMC;sans objet;simple flux par extraction avec balayage;0;sans objet;Non;Oui;2;Non;sans objet;Non;VMC ou VN;VMC info manquante;BLANC-FEUTRE;Oui;Non;Non;Non;Chauffe
