CODE_ECOLE;P_ROUTE;I_ROUTE;P_AUTOROUTE;I_AUTOROUTE;P_TUNNEL;I_TUNNEL;P_GARE;I_GARE;P_STATION_SERV;P_AEROPORT;P_FERRO;TRAFIC_AGR
EE06ANP239;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE06GAE230;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE06GRL225;OUI;Fort;NON;sans objet;NON;sans objet;OUI;Moyen;NON;NON;OUI;Fort
EE06NIA222;NON;sans objet;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE07CSC204;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;OUI;NON;OUI;Modéré ou faible
EE07LVU120;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;OUI;NON;NON;Modéré ou faible
EE07ROD119;OUI;Faible;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE07SEM179;OUI;Faible;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE07VIQ113;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE12COJ122;OUI;Faible;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE12ROA193;OUI;Fort;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Fort
EE12ROK169;OUI;Moyen;NON;sans objet;NON;sans objet;OUI;Moyen;NON;NON;OUI;Modéré ou faible
EE12ROX205;NON;sans objet;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
EE12SCD184;OUI;Fort;NON;sans objet;NON;sans objet;OUI;Faible;NON;NON;OUI;Fort
EE12SGF125;OUI;Moyen;NON;sans objet;NON;sans objet;OUI;Faible;NON;NON;OUI;Modéré ou faible
EE12SRQ168;OUI;Fort;NON;sans objet;NON;sans objet;OUI;Faible;OUI;NON;OUI;Fort
EE13AET078;OUI;Fort;OUI;Fort;NON;sans objet;OUI;Fort;OUI;NON;OUI;Fort
EE13AUT004;OUI;Moyen;NON;sans objet;NON;sans objet;OUI;Moyen;NON;NON;OUI;Modéré ou faible
EE13BOC002;OUI;Moyen;NON;sans objet;NON;sans objet;NON;sans objet;NON;NON;NON;Modéré ou faible
