IDN_ENSEIGNANT;CODE_ECOLE;CODE_PIECE;SEXE;AGE_DI;ANNENS_DI;ANNENSET_DI;ENSTT_CG;ENSTP_CG;FRQOD_CO;F_ORIGOD_CG;F_SATIFOD_CG;F_GENOD_CO;ACT_ENF_OD_ON;OD_ENF_AGRE_DI;OD_ENF_NEUT_DI;OD_ENF_DESA_DI;CONTACT_OD_ON;ACOU_AMB_CG;ACOU_VOIX_CG;F_GENVOIX_CO;ACOU_CHAIS_CG;F_GENCHAIS_CO;ACOU_PERSETG_CG;F_GENPERS_ETG_CO;ACOU_PERSINF_CG;F_GENPERS_INF_CO;ACOU_WC_CG;F_GEN_WC_CO;ACOU_EXTFF_CG;F_GENEXT_FF_CO;ACOU_EXTFO_CG;F_GENEXT_FO_CO;ACOU_EXTAUT_CG;F_GENEXT_AUT_CO;ACOU_EQIND_AUG_ON;ACOU_EQIND_NEUT_ON;ACOU_EQIND_DIM_ON;ACOU_VOIX_AUG_ON;ACOU_VOIX_NEUT_ON;ACOU_VOIX_DIM_ON;ACOU_MES_BRO_ON;ACOU_MES_NEUT_ON;ACOU_MES_DIM_ON;ENS_VMC_ON;F_GEN_VMC_CO;ACT_ENF_ACOU_ON;ACOU_ENF_AGRE_DI;ACOU_ENF_NEUT_DI;ACOU_ENF_DESA_DI;CONTACT_ACOU_ON;SATIFVIS_CG;GENVIS_SOL_CO;F_FRQGEN_VIS_LUM_CG;F_FRQGEN_VIS_LIS_CO;FRQ_STOR_CO;F_SATISTOR_CG;F_PASBES_STOR_ON;F_PASPROTECT_ON;F_MECABLOQ_ON;F_MECAINACC_ON;F_PROTECINE_ON;F_AUTSTOR_ON;F_NONUT_STORP_TXT;FRQ_UTARTI_CO;F_GEN_UTARTI_CO;F_FRQGEN_ARTILIS_CO;F_SATIFARTI_CG;F_EBLOUARTI_CO;F_IRC_ARTI_CG;F_NONUTARTI_LUM_ON;F_NONUTARTI_DYS_ON;F_NONUTARTI_AUT_ON;F_NONUT_ARTI_TXT;ACT_ENF_VIS_ON;VIS_ENF_AGRE_DI;VIS_ENF_NEUT_DI;VIS_ENF_DESA_DI;CONTACT_VIS_ON;TEMP_AMB_CG;FRQ_TEMP_CO;SATISTEMP_CG;DT_TEMP;HEURE_TEMP;TEMP_ENS_CG;FRQ_COURAIR_CO;SATIF_COURAIR_CG;ACT_ENF_TEMP_ON;TEMP_ENF_AGRE_DI;TEMP_ENF_NEUT_DI;TEMP_ENF_DESA_DI;CONTACT_TEMP_ON;SATIF_QAI_CG;SEC_QAI_CG;CONF_QAI_CG
ENS_130;EE67STI053;SDC1;2;33;10;4;1;sans objet;2;1;3;3;1;15;7;1;2;4;1;4;1;3;1;4;1;4;1;5;2;sans objet;1;4;1;3;2;2;2;2;2;2;2;2;2;2;sans objet;1;4;9;10;2;7;4;2;3;4;5;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;1;1;4;1;3;sans objet;sans objet;sans objet;sans objet;1;4;19;0;2;5;3;2;2013-06-20; 14:30;7;3;2;1;1;20;2;2;3;4;2
ENS_131;EE67STI053;SDC2;2;32;8;2;1;sans objet;1;sans objet;sans objet;sans objet;1;2;17;1;2;3;2;sans objet;2;sans objet;2;sans objet;2;sans objet;1;2;1;2;1;3;2;sans objet;2;2;1;2;1;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;3;2;1;2;3;3;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;4;2;2;1;3;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;1;6;2013-06-17; 15:30;6;1;NA;2;sans objet;sans objet;sans objet;sans objet;6;3;6
ENS_134;EE91ALI023;SDC1;2;39;8;5;1;sans objet;1;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;3;sans objet;3;sans objet;3;sans objet;3;sans objet;2;sans objet;1;2;1;2;1;2;2;1;2;2;1;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;5;2;3;1;2;7;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;1;1;7;1;1;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;4;2;6;2013-06-17; 10:00;4;1;NA;2;sans objet;sans objet;sans objet;sans objet;6;4;4
ENS_135;EE67WEY048;SDC1;1;36;13;4;1;sans objet;2;1;4;2;1;7;18;0;2;4;2;sans objet;2;sans objet;2;sans objet;2;sans objet;2;sans objet;1;3;1;4;1;4;1;2;2;2;1;2;2;1;2;2;sans objet;1;1;7;17;2;4;3;3;2;4;5;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;2;2;4;1;1;sans objet;sans objet;sans objet;sans objet;1;25;0;0;2;4;2;5;2013-06-21; 16:30;6;1;NA;1;12;7;6;2;4;4;6
ENS_136;EE67WEY048;SDC2;2;38;13;9;1;sans objet;2;2;4;1;1;11;11;3;2;4;2;sans objet;2;sans objet;2;sans objet;2;sans objet;2;sans objet;1;3;1;2;1;3;1;2;2;2;1;2;2;1;2;2;sans objet;1;8;14;3;2;5;3;1;2;4;5;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;2;2;6;1;1;sans objet;sans objet;sans objet;sans objet;1;16;2;7;2;4;2;5;2013-09-21; 16:30;6;1;NA;1;15;5;5;2;4;4;6
ENS_138;EE14SME038;SDC1;2;36;9;6;2;"lundiMAT;lundiPM;mardiMAT;mardiPM;jeuMAT;jeuPM;";1;sans objet;sans objet;sans objet;1;21;0;1;2;1;2;sans objet;2;sans objet;1;5;3;sans objet;2;sans objet;1;3;1;5;1;3;1;2;2;1;2;2;1;2;2;2;sans objet;1;18;1;2;2;2;2;2;2;3;6;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;1;1;1;1;1;sans objet;sans objet;sans objet;sans objet;1;9;10;4;2;7;1;1;2013-06-25; 16:00;6;2;1;1;12;4;6;2;1;1;2
ENS_139;EE14SME038;SDC2;2;35;13;5;2;"lundiMAT;jeuMAT;jeuPM;venMAT;venPM";2;2;2;2;1;24;10;0;2;3;1;3;2;sans objet;2;sans objet;3;sans objet;3;sans objet;2;sans objet;1;4;2;sans objet;1;2;2;1;2;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;4;2;3;2;4;6;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;3;1;2;4;1;1;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;3;3;2013-06-28; 16:50;6;1;NA;2;sans objet;sans objet;sans objet;sans objet;5;3;3
ENS_140;EM67SUN057;SDC1;2;33;11;11;1;sans objet;1;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;3;2;sans objet;2;sans objet;1;3;2;sans objet;1;3;2;sans objet;2;sans objet;2;sans objet;2;1;2;2;1;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;1;sans objet;sans objet;3;6;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;3;1;2;6;1;1;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;3;5;2013-09-26; 16:30;6;1;NA;2;sans objet;sans objet;sans objet;sans objet;6;2;5
ENS_141;EM67SUN057;SDC2;2;38;13;5;1;sans objet;2;1;4;1;2;sans objet;sans objet;sans objet;sans objet;2;2;sans objet;1;1;1;1;3;sans objet;2;sans objet;1;1;1;1;2;sans objet;2;1;2;2;1;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;3;2;2;4;5;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;3;1;2;3;3;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;6;4;3;2013-09-27; 07:15;3;2;3;2;sans objet;sans objet;sans objet;sans objet;4;3;3
ENS_142;EE74SEI012;SDC1;2;29;8;1;2;"lundiMAT;lundiPM;mardiMAT;mardiPM;";2;2;2;2;1;11;3;6;2;2;2;sans objet;1;3;2;sans objet;2;sans objet;2;sans objet;2;sans objet;1;2;2;sans objet;1;2;2;2;1;2;2;1;2;2;sans objet;1;5;3;13;2;5;1;sans objet;sans objet;1;sans objet;1;2;2;2;2;2;sans objet;3;3;1;5;1;1;sans objet;sans objet;sans objet;sans objet;1;14;4;2;2;6;2;6;2013-06-24; 17:00;5;2;4;1;11;2;7;2;4;2;4
ENS_143;EE74SEI012;SDC2;2;32;8;7;1;sans objet;3;3;2;3;1;10;8;2;1;3;2;sans objet;2;sans objet;2;sans objet;2;sans objet;2;sans objet;1;3;1;4;1;4;1;2;2;2;1;2;2;1;2;2;sans objet;1;1;1;18;1;4;3;2;2;3;3;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;2;2;4;3;3;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;4;4;1;2013-06-27; 08:20;3;2;4;1;5;1;14;1;4;4;3
ENS_144;EE13MAM006;SDC1;2;41;10;6;1;sans objet;1;sans objet;sans objet;sans objet;1;6;13;0;1;3;1;3;1;3;1;4;1;3;2;sans objet;1;2;1;2;2;sans objet;2;1;2;2;1;2;2;1;2;2;sans objet;1;0;3;16;1;6;2;2;2;2;3;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;4;2;1;5;1;1;sans objet;sans objet;sans objet;sans objet;1;13;6;0;1;4;2;4;2013-06-24; 09:30;5;2;4;1;3;5;11;1;6;4;4
ENS_145;EE13MAM006;SDC2;2;34;11;8;2;"lundiMAT;mardiMAT;mardiPM;jeuMAT;jeuPM;venMAT;venPM";1;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;1;1;2;1;1;3;sans objet;1;4;3;sans objet;1;4;2;sans objet;1;5;2;1;2;2;1;2;2;1;2;2;sans objet;2;sans objet;sans objet;sans objet;sans objet;1;2;1;2;1;sans objet;2;1;2;2;2;2;sans objet;4;1;1;4;1;3;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;4;3;6;2013-06-25; 12:30;4;2;6;2;sans objet;sans objet;sans objet;sans objet;4;4;4
