IDN_PIECE;CODE_ECOLE;CODE_PIECE;CODEPARAM;VALEUR
EE06ANP239_EXT0;EE06ANP239;EXT0;ALD01;1,6
EE06ANP239_EXT0;EE06ANP239;EXT0;ALD02;2,2
EE06ANP239_EXT0;EE06ANP239;EXT0;ALD03;2,97
EE06ANP239_EXT0;EE06ANP239;EXT0;TPT_MOY;12,91
EE06ANP239_EXT0;EE06ANP239;EXT0;HRE_MOY;65,44
EE06ANP239_SDC1;EE06ANP239;SDC1;COV01;1,7
EE06ANP239_SDC1;EE06ANP239;SDC1;COV02;2,9
EE06ANP239_SDC1;EE06ANP239;SDC1;COV03;5,2
EE06ANP239_SDC1;EE06ANP239;SDC1;COV04;17,9
EE06ANP239_SDC1;EE06ANP239;SDC1;COV05;8,4
EE06ANP239_SDC1;EE06ANP239;SDC1;COV06;1
EE06ANP239_SDC1;EE06ANP239;SDC1;COV07;2,1
EE06ANP239_SDC1;EE06ANP239;SDC1;COV08;1,3
EE06ANP239_SDC1;EE06ANP239;SDC1;COV09;0,06
EE06ANP239_SDC1;EE06ANP239;SDC1;COV10;3,5
EE06ANP239_SDC1;EE06ANP239;SDC1;COV11;188,5
EE06ANP239_SDC1;EE06ANP239;SDC1;COV12;3,6
EE06ANP239_SDC1;EE06ANP239;SDC1;COV13;1,2
EE06ANP239_SDC1;EE06ANP239;SDC1;ALD01;18,2
EE06ANP239_SDC1;EE06ANP239;SDC1;ALD02;6
EE06ANP239_SDC1;EE06ANP239;SDC1;ALD03;13,1
EE06ANP239_SDC1;EE06ANP239;SDC1;NO2;17,9
EE06ANP239_SDC1;EE06ANP239;SDC1;PM25;14,7
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV01;0,04
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV02;0,04
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV03;0,02
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV04;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV05;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV06;0,9
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV07;0,9
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV08;0,4
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV09;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV10;0,04
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV11;0,04
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV12;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV13;0,2
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV14;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV15;0,2
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV16;0,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV17;2,8
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV18;213,5
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV19;42,8
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV20;2,4
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV21;1,1
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV22;0,04
EE06ANP239_SDC1;EE06ANP239;SDC1;AIRCOSV23;0,8
