CODE_ECOLE;DATE_DEB_ENQUETE;DATE_FIN_ENQUETE;NUM_ANNEE_ENQUETE;DEPARTEMENT;REDRESSEMENT;POIDS_SONDAGE;TYPE_ECOLE;TYPE_ENVIRONNEMENT_2C;TYPE_ENVIRONNEMENT_3C;ZONE_CLIMATIQUE_3C;ZONE_CLIMATIQUE_8C
EE06ANP239;2016-03-21;2016-03-25;3;06;OUI;202;Elémentaire;Urbain;Périurbain;H3;H3
EE06GAE230;2016-05-09;2016-05-13;3;06;OUI;202;Elémentaire;Urbain;Rural;H3;H3
EE06GRL225;2016-05-23;2016-05-27;3;06;OUI;202;Elémentaire;Urbain;Périurbain;H3;H3
EE06NIA222;2016-02-22;2016-02-26;3;06;OUI;202;Elémentaire;Urbain;Urbain;H3;H3
EE07CSC204;2015-03-09;2015-03-13;2;07;OUI;101;Elémentaire;Urbain;Périurbain;H2;H2d
EE07LVU120;2014-10-13;2014-10-17;2;07;OUI;101;Elémentaire;Urbain;Rural;H2;H2d
EE07ROD119;2015-02-23;2015-02-27;2;07;OUI;101;Elémentaire;Urbain;Rural;H2;H2d
EE07SEM179;2015-03-02;2015-03-06;2;07;OUI;426;Elémentaire;Rural;Rural;H2;H2d
EE07VIQ113;2014-09-29;2014-10-03;2;07;OUI;426;Elémentaire;Rural;Rural;H2;H2d
EE12COJ122;2014-11-03;2014-11-07;2;12;OUI;330;Elémentaire;Rural;Rural;H2;H2c
EE12ROA193;2015-03-02;2015-03-06;2;12;OUI;157;Elémentaire;Urbain;Périurbain;H2;H2c
EE12ROK169;2015-01-19;2015-01-23;2;12;OUI;157;Elémentaire;Urbain;Périurbain;H2;H2c
EE12ROX205;2015-03-16;2015-03-20;2;12;OUI;157;Elémentaire;Urbain;Périurbain;H2;H2c
EE12SCD184;2015-01-26;2015-01-30;2;12;OUI;330;Elémentaire;Rural;Rural;H2;H2c
EE12SGF125;2014-12-08;2014-12-12;2;12;OUI;330;Elémentaire;Rural;Rural;H2;H2c
EE12SRQ168;2015-01-12;2015-01-16;2;12;OUI;330;Elémentaire;Rural;Rural;H2;H2c
EE13AET078;2013-12-09;2013-12-13;1;13;OUI;227;Elémentaire;Urbain;Périurbain;H3;H3
EE13AUT004;2014-03-24;2014-03-28;1;13;OUI;227;Elémentaire;Urbain;Périurbain;H3;H3
EE13BOC002;2014-02-03;2014-02-07;1;13;OUI;32;Elémentaire;Rural;Rural;H3;H3
EE13LPW003;2013-11-18;2013-11-22;1;13;OUI;227;Elémentaire;Urbain;Rural;H3;H3
EE13MAH102;2014-03-17;2014-03-21;1;13;OUI;227;Elémentaire;Urbain;Urbain;H3;H3
EE13MAM006;2013-06-24;2013-06-28;1;13;OUI;227;Elémentaire;Urbain;Urbain;H3;H3
EE13MAS005;2013-09-16;2013-09-20;1;13;OUI;227;Elémentaire;Urbain;Urbain;H3;H3
EE13ORA001;2014-02-17;2014-02-21;1;13;OUI;32;Elémentaire;Rural;Rural;H3;H3
EE14CAG037;2014-02-24;2014-02-28;1;14;OUI;275;Elémentaire;Urbain;Urbain;H1;H1a
EE14CAU039;2014-03-17;2014-03-21;1;14;OUI;275;Elémentaire;Urbain;Urbain;H1;H1a
EE14CSS036;2014-01-27;2014-01-31;1;14;OUI;275;Elémentaire;Urbain;Périurbain;H1;H1a
EE14MOF034;2013-10-07;2013-10-11;1;14;OUI;385;Elémentaire;Rural;Rural;H1;H1a
EE14SAB087;2014-02-03;2014-02-07;1;14;OUI;385;Elémentaire;Rural;Rural;H1;H1a
EE14SME038;2013-06-24;2013-06-28;1;14;OUI;275;Elémentaire;Urbain;Périurbain;H1;H1a
EE14TLV035;2013-10-14;2013-10-18;1;14;OUI;385;Elémentaire;Rural;Rural;H1;H1a
EE19BLT141;2015-06-15;2015-06-19;2;19;OUI;92;Elémentaire;Urbain;Périurbain;H1;H1c
EE19LIZ144;2014-12-15;2014-12-19;2;19;OUI;566;Elémentaire;Rural;Rural;H1;H1c
EE19SJY186;2015-02-09;2015-02-13;2;19;OUI;566;Elémentaire;Rural;Rural;H1;H1c
EE24CCE275;2016-12-12;2016-12-16;4;24;OUI;80;Elémentaire;Urbain;Périurbain;H2;H2c
EE24LIL323;2017-06-12;2017-06-16;4;24;OUI;531;Elémentaire;Rural;Rural;H2;H2c
EE24MMF283;2017-03-20;2017-03-24;4;24;OUI;80;Elémentaire;Urbain;Périurbain;H2;H2c
EE24PEA281;2016-11-28;2016-12-02;4;24;OUI;80;Elémentaire;Urbain;Urbain;H2;H2c
EE24PEB277;2016-11-21;2016-11-25;4;24;OUI;80;Elémentaire;Urbain;Urbain;H2;H2c
EE24PEF279;2017-01-16;2017-01-20;4;24;OUI;80;Elémentaire;Urbain;Urbain;H2;H2c
EE24PES285;2016-12-05;2016-12-09;4;24;OUI;80;Elémentaire;Urbain;Urbain;H2;H2c
EE24SOS276;2017-03-13;2017-03-17;4;24;OUI;531;Elémentaire;Rural;Rural;H2;H2c
EE29COK236;2016-03-21;2016-03-25;3;29;OUI;317;Elémentaire;Urbain;Périurbain;H2;H2a
EE29COW248;2016-05-09;2016-05-13;3;29;OUI;317;Elémentaire;Urbain;Périurbain;H2;H2a
EE29ELZ245;2016-02-22;2016-02-26;3;29;OUI;222;Elémentaire;Rural;Rural;H2;H2a
EE29LOQ243;2016-01-25;2016-01-29;3;29;OUI;222;Elémentaire;Rural;Rural;H2;H2a
EE29LPY255;2016-04-25;2016-04-29;3;29;OUI;222;Elémentaire;Rural;Périurbain;H2;H2a
