CODEPARAM;NOMPARAM;FAMILLEPARAM;MILIEU;METHODE;DESCRIPTION_MESURE;UNITE;LDc;LQc;INFLDc;INFLQc
COV01;Benzène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,28;0,32;0,14;0,3
COV02;Toluène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;1,80;1,80;0,9;1,8
COV03;Ethylbenzène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,12;0,31;0,06;0,215
COV04;m,p-xylènes;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,60;0,60;0,3;0,6
COV05;o-xylène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,13;0,32;0,07;0,225
COV06;Styrène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,12;0,29;0,06;0,205
COV07;Décane;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,28;0,36;0,14;0,32
COV08;n-hexane;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;2,59;2,59;1,3;2,59
COV09;Tétrachloroéthylène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,12;0,31;0,06;0,215
COV10;Limonène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,25;0,62;0,13;0,435
COV11;Alpha-pinène;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,50;1,24;0,25;0,87
COV12;MIBK;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,30;0,60;0,15;0,45
COV13;Phénol;Composés organiques volatils;AIR;prélèvement passif;concentration moyenne;µg/m3;0,26;0,52;0,13;0,39
ALD01;Formaldéhyde;Aldéhydes;AIR;prélèvement passif;concentration moyenne;µg/m3;0,64;0,64;0,32;0,64
ALD02;Acetaldéhyde;Aldéhydes;AIR;prélèvement passif;concentration moyenne;µg/m3;0,76;0,76;0,38;0,76
ALD03;Hexaldéhyde;Aldéhydes;AIR;prélèvement passif;concentration moyenne;µg/m3;5,94;5,94;2,97;5,94
NO2;Dioxyde d'azote;Dioxyde d'azote;AIR;prélèvement passif;concentration moyenne;µg/m3;2;5;1;3,5
PM25;PM2.5;Particules fines;AIR;prélèvement actif;concentration intégrée;µg/m3;3,6;3,6;1,8;3,6
AIRCOSV01;Aldrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV02;4,4'-DDT (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV03;4,4'-DDE (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,03;0,08;0,02;0,06
AIRCOSV04;Dieldrine  (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV05;Alpha-endosulfan (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV06;Alpha-HCH (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,03;0,08;0,02;0,06
AIRCOSV07;Gamma-HCH (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV08;Chlorpyrifos-éthyl (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV09;Diazinon (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV10;Dichlorvos (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV11;Oxadiazon (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV12;Cyfluthrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,2;0,4;0,1;0,3
AIRCOSV13;Cyperméthrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,4;0,6;0,2;0,5
AIRCOSV14;Deltaméthrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,2;0,4;0,1;0,3
AIRCOSV15;Perméthrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,4;0,99;0,2;0,7
AIRCOSV16;Tétraméthrine (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,2;0,4;0,1;0,3
AIRCOSV17;Tributylphosphate (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;1,6;2,98;0,8;2,3
AIRCOSV18;Galaxolide (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;2,1;2,1;1,05;2,1
AIRCOSV19;Tonalide (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,61;0,99;0,31;0,8
AIRCOSV20;Acénaphtène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,3;0,3;0,15;0,3
AIRCOSV21;Anthracène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,2;0,4;0,1;0,3
AIRCOSV22;Benzo[a]pyrène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,08;0,2;0,04;0,14
AIRCOSV23;Fluoranthène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,29;0,29;0,15;0,29
AIRCOSV24;Fluorène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;0,53;0,53;0,27;0,53
AIRCOSV25;Phénanthrène (air);Composés organiques semi-volatils (COSV);AIR;prélèvement actif;concentration intégrée;ng/m3;1,79;1,79;0,9;1,79
