CODELIEU;IDN_PIECE;Q11;SQ21;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;SQ31;Q31;Q32;Q33;Q34;Q35;Q36;Q37;SQ41;Q41;Q42;Q51;Q52;Q53;Q54;Q55;Q56;Q57;Q58;Q61;Q61a;Q62;Q62a;Q62b;Q63;SQ6b;Q64;Q65;Q66;Q67;Q68;Q69;Q610;Q7A1;Q7A2;Q7A3;Q7A4;Q7A5;Q7A6;Q7A7;Q7B1;Q7B2;Q7B3;Q7B4;Q7B5;Q7B6;Q7B7;Q7C1;Q7C2;Q7C3;Q7C4;Q7C5;Q7C6;Q7C7;Q7D1;Q7D2;Q7D3;Q7D4;Q7D5;Q7D6;Q7D7;SQ81;Q81;Q82;Q83;Q84;Q91;Q101;Q111;Q121;Q131;Q132;Q141;Q142
01-M001;55;1;1;2;8;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;2;3;sans objet;sans objet;sans objet;3;4;8;0;7;sans objet;1;1;1;1;1;1;1;3;2;1;1;1;2;1;1;2;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;2;4;2;1;2;2;2;0;2;2;3;2
01-M002;11;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;3;3;sans objet;sans objet;sans objet;3;5;8;5;7;sans objet;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;1;2;1;1;2;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;3;2;1;0;2;2;3;2
01-M002;12;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;2;3;sans objet;sans objet;sans objet;3;5;8;5;7;sans objet;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;1;2;1;1;2;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;2;2;1;0;2;2;3;2
01-M002;17;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;3;3;sans objet;sans objet;sans objet;3;3;8;3;5;7;3;1;2;2;1;2;2;sans objet;2;1;1;1;2;1;1;2;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;4;1;1;3;2;2;3;1;2;3;2
01-M002;20;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;3;3;sans objet;sans objet;sans objet;3;5;8;1;7;sans objet;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;1;2;1;1;1;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;3;2;1;0;2;2;3;2
01-M002;29;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;1;3;sans objet;sans objet;sans objet;3;3;8;3;1;7;3;1;2;2;1;2;2;sans objet;2;1;1;1;2;1;1;2;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;2;2;2;0;2;2;3;2
01-M002;32;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;2;2;1;1;1;3;3;8;3;5;7;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;4;2;2;0;2;2;3;1
01-M004;11;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;1;3;sans objet;sans objet;sans objet;3;3;8;1;7;sans objet;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;1;2;2;1;1;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;2;2;1;0;2;2;3;2
01-M004;17;1;1;2;8;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;1;3;sans objet;sans objet;sans objet;3;3;8;5;3;7;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;2;1;1;2;1;1;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;1;4;2;1;2;2;2;0;2;2;3;2
01-M004;20;1;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;5;sans objet;1;3;sans objet;sans objet;sans objet;3;3;8;1;7;sans objet;3;2;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;1;2;1;2;2;1;1;0;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;sans objet;2;sans objet;sans objet;sans objet;sans objet;3;2;1;0;2;2;3;2
