CODELOG;POIDS_SONDAGE;NUM_UP;CODEEGION;QPV;DVISIT1;DVISIT2;REG;Libelle.region;DEP;Libelle.departement;PCTL;PCPP;PCPS;PCNE;PCEL;PCOL;PCAS;PCJA;IAC;IAC1;IAC2;MA1ANO;MA1AMOIS;MA1AYEAR;MATER01;MATER02;MATER03;MATER04;MATER05;MATER06;MATER07;MATER1;ACTP1;ACTP2;ACTP3;QPX1;QPX2;QPX3;QOD1;QOD2;QOD3;QBR1;QBR2;QBR3;QBR4;QBR5;QBR6;REAB;REAB1;REAB2;REAB3;TRAV;TRAV101;TRAV102;TRAV103;TRAV104;TRAV105;TRAV106;TRAV107;TRAV108;TRAV109;TRAV110;TRAV111;TRAV112;TRAV2;KCC0;KCC1;KCC1a;KCC201;KCC202;KCC203;KCC204;KCC205;KCC206;KCC207;KCC208;KCC209;KCC210;KCC2a;KCCM11;KCCM12;KCCM13;KCCM14;KCCM15;KCCM16;KCCM17;KCCM18;KCCM19;KCCM2;CHEM1;CHEM2;KCL1;KCL1b;KCUI;KCUIa;KECS;KEIC;KEIC1;CEM01;CEM02;CEM03;CEM04;CHAUSS;FUMEUR1;FUMEUR2;ANI1;ANI211;ANI212;ANI213;ANI214;ANI215;ANI22;QATRA1;QOM31;QOM32;QOM33;QOM34;QOM35;HGTM;HGLP;MENAG;KID15;STRMEN;REV1;FC10B;LSTU2;SOMSEJNO;SOMSEJADUADO;SOMSEJENFANT;SOMCHBNO;SOMCHBADUADO;SOMCHBENFANT;CHAUF;CHEM;CHAPP;AFUM;AVAP;CUI1;CUI4;CUI5;PRESS;MBLS1;MBLS2;MBLS3;MBLS4;MBLS4a;XPB10;XPB11;XPB111;XPB112;XPB113;XPB114;XPB115;XPB11b;XPB12;XPB131;XPB132;XPB133;XPB134;XPB135;XPB136;XPB137;XPB138;XPB139;XPB13a;LSTU;LSTUC;LNPL1;LNPL2;LNPL3;LNPL4;LNPL5;LNPL6;LNPL7;LNPL8;LNPL9;LNPL0;HCU1;HCU3;HSRF;HPLB;HPLB1;HPLB2;HPLH;HPLH1;DCA1;DCA2;DGAR0;DGAR1;DGG3;KODSJ;FNSJ11;FNSJ12;FNSJ13;FNSJ14;FNSJ15;FNSJ16;FNSJ1a;KODCH;FNCH11;FNCH12;FNCH13;FNCH14;FNCH15;FNCH16;FNCH1a;SURFCHB;HAUTCHB;SURFSEJ;HAUTSEJ;Q1;Q2;Q21NOW;Q21AVANT;Q3;Q4NETTOI;Q4AERE;Q4CUI;Q4LOISIR;Q4TRAV;Q4MOB;Q5CHAUF;Q5NETTOI;Q5DESINF;Q5DESO;Q5INSEC;Q5TABAC
LOG001;12574,92344;29;11;0;2022-novembre;2022-novembre;11;Île-de-France;75;Paris;2;7;5;6;4;2;1;2;1;NA;NA;2;NA;2020;2;2;2;2;1;2;2;;1;6;Magasin de téléphone;3;NA;;3;NA;;2;1;;3;NA;;3;1;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;3;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;1;2;2;2;2;2;2;2;2;;2;3;3;NA;2;NA;1;3;;1;3;1;1;2;2;2;1;2;1;2;2;2;;;2;1;2;2;2;2;2;3;0;3;1;2;2;2;0;0;2;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;1;2;2;2;2;1;Gare de l'Est;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;1;2;3;2;2;1;1;0;0;Sans Objet;1;1;125;1;Sans Objet;Sans Objet;1;Sans Objet;1;2;2;Sans Objet;Sans Objet;SEJ1;2;2;1;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;10;309;25;310;3;3;Sans Objet;Sans Objet;3;3;3;3;3;3;3;4;3;1;3;3;4
LOG002;77257,40785;16;11;0;2021-juin;2021-juin;11;Île-de-France;75;Paris;2;1;4;5;0;3;1;1;3;NA;NA;2;1;2004;2;2;2;2;1;2;2;;2;NA;;2;3;;3;NA;;2;5;;3;NA;;4;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;3;;2;2;2;2;2;1;2;2;2;2;;1;2;2;2;2;2;2;2;2;;3;3;3;NA;1;NA;1;3;;1;3;1;1;2;1;1;1;2;1;2;2;2;;;1;NA;NA;NA;NA;2;2;2;0;2;1;2;2;2;0;0;2;2;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;1;2;2;2;2;1;Pollen;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;0;1;1;0;1;1;0;0;0;Sans Objet;2;1;45;4;Sans Objet;Sans Objet;1;Sans Objet;1;2;2;Sans Objet;Sans Objet;SEJ1;2;2;1;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;15;250;25;250;3;3;Sans Objet;Sans Objet;3;3;3;1;3;3;3;3;3;3;3;4;4
LOG003;42637,35978;17;11;0;2021-avril;2021-avril;11;Île-de-France;75;Paris;2;1;4;5;3;2;1;2;3;NA;NA;1;NA;NA;2;1;2;2;2;2;2;;2;NA;;3;NA;;3;NA;;2;1;;3;NA;;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;;3;6;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;2;1;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;2;NA;;1;3;1;1;1;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;2;0;2;1;2;2;1;NA;NA;2;2;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;1;1;1;1;1;0;0;0;0;Sans Objet;1;3;41;1;Sans Objet;Sans Objet;1;Sans Objet;1;2;2;Sans Objet;Sans Objet;SEJ1;2;2;2;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;13;265;11;264;3;1;4;1;2;3;1;3;3;3;3;4;3;1;4;4;4
LOG004;12667,34695;1;11;0;2021-octobre;2021-octobre;11;Île-de-France;75;Paris;2;2;1;6;4;2;2;2;1;NA;NA;2;3;2011;2;2;2;2;1;2;2;;1;6;Pharmacie;1;1;;1;1;;1;1;;1;1;;1;1;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;3;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;1;2;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;2;NA;;1;3;1;1;1;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;1;0;1;1;2;2;2;0;0;2;1;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;0;1;1;0;1;0;0;0;0;Sans Objet;2;3;45;1;Sans Objet;Sans Objet;1;Sans Objet;2;Sans Objet;2;Sans Objet;Sans Objet;CUS1;1;2;2;2;2;2;Sans Objet;CHB1;2;2;1;2;2;2;Sans Objet;25;250;25;250;3;2;1;1;2;3;1;3;3;3;3;3;3;3;3;3;3
LOG005;33534,13348;14;11;0;2021-janvier;2021-janvier;11;Île-de-France;75;Paris;2;2;1;6;4;2;1;2;6;NA;NA;2;7;2014;2;1;2;2;1;2;2;;2;NA;;2;1;;1;1;;1;1;;1;1;;1;1;1;1;1;2;1;2;2;2;2;2;1;2;2;2;2;;3;6;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;2;1;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;2;NA;;1;3;2;NA;1;1;1;1;2;1;2;2;2;;;1;NA;NA;NA;NA;2;2;2;0;2;1;2;2;2;0;0;2;2;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;0;1;1;0;0;1;0;0;0;Sans Objet;2;3;30;1;Sans Objet;Sans Objet;1;Sans Objet;3;Sans Objet;2;Sans Objet;Sans Objet;CUS1;1;2;2;1;2;2;Sans Objet;CHB1;2;2;2;2;1;2;Sans Objet;12;260;16;260;3;3;Sans Objet;Sans Objet;1;3;3;3;3;3;3;4;3;3;4;4;4
LOG006;87196,18843;11;11;1;2021-avril;2021-avril;11;Île-de-France;75;Paris;2;2;3;10;6;1;1;2;7;NA;NA;2;3;1979;2;2;1;2;2;2;2;;2;NA;;3;NA;;2;4;;3;NA;;3;NA;;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;;3;6;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;2;1;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;2;NA;;1;3;1;3;1;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;1;0;1;2;2;2;2;0;0;2;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;1;1;1;0;1;1;0;0;0;Sans Objet;1;3;55;1;Sans Objet;Sans Objet;1;Sans Objet;1;2;1;2;1;SEJ1;2;2;2;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;14;250;25;250;3;3;Sans Objet;Sans Objet;2;3;3;3;3;3;3;4;3;1;4;3;4
LOG007;140155,1788;18;11;0;2021-septembre;2021-octobre;11;Île-de-France;75;Paris;2;3;3;5;3;1;1;2;8;NA;NA;2;1;1985;2;2;1;2;2;2;2;;2;NA;;1;1;;3;NA;;1;1;;3;NA;;4;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;3;6;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;2;1;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;2;NA;;1;3;1;3;2;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;1;0;1;2;2;2;2;0;0;2;1;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;1;1;2;0;1;1;0;0;0;Sans Objet;1;3;82;1;Sans Objet;Sans Objet;1;Sans Objet;2;Sans Objet;2;Sans Objet;Sans Objet;SEJ1;2;2;2;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;17;240;35;240;3;3;Sans Objet;Sans Objet;3;3;1;3;3;3;3;3;3;3;3;3;3
LOG008;44919,72592;12;11;0;2021-avril;2021-avril;11;Île-de-France;75;Paris;2;3;2;7;2;1;1;2;9;NA;NA;1;NA;NA;2;2;1;2;2;2;2;;2;NA;;3;NA;;3;NA;;1;1;;3;NA;;4;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;3;;2;2;1;2;2;2;2;2;2;2;;1;2;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;1;3;;1;1;2;NA;2;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;1;0;1;2;2;2;2;0;0;2;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;2;NA;NA;NA;NA;NA;;1;2;2;2;2;2;2;1;2;2;;2;Sans Objet;1;1;1;0;1;0;0;0;0;Sans Objet;1;3;53;1;Sans Objet;Sans Objet;1;Sans Objet;1;2;2;Sans Objet;Sans Objet;SEJ1;2;2;2;1;2;2;Sans Objet;CHB1;2;1;2;2;2;2;Sans Objet;12;250;21;250;3;3;Sans Objet;Sans Objet;3;3;3;1;3;3;3;3;4;1;3;3;3
LOG009;13717,21395;17;11;0;2021-juin;2021-juin;11;Île-de-France;75;Paris;2;3;5;7;7;2;1;1;3;NA;NA;2;3;2000;2;2;1;2;2;2;2;;2;NA;;3;NA;;4;NA;;3;NA;;3;NA;;3;1;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;1;;2;2;2;2;2;1;2;2;2;2;;1;2;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;1;1;;1;1;2;NA;1;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;5;0;3;1;2;2;2;0;0;2;2;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;2;NA;NA;NA;NA;NA;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;Sans Objet;1;1;4;0;1;1;0;0;0;Sans Objet;1;3;95;1;Sans Objet;Sans Objet;1;Sans Objet;2;Sans Objet;2;Sans Objet;Sans Objet;SEJ1;2;2;2;1;2;2;Sans Objet;CHB1;2;1;1;2;2;2;Sans Objet;13;250;27;270;3;1;3;1;3;3;3;1;3;3;3;3;4;3;4;4;4
LOG010;244185,3946;14;11;0;2021-avril;2021-avril;11;Île-de-France;75;Paris;2;1;2;7;1;1;1;2;7;NA;NA;2;9;2016;2;2;1;2;2;2;2;;2;NA;;3;NA;;2;4;;3;NA;;3;NA;;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1;1;;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;;1;2;2;2;2;2;2;2;2;;3;3;3;NA;2;NA;1;8;;1;1;2;NA;2;1;1;2;NA;NA;NA;NA;NA;;;1;NA;NA;NA;NA;2;2;1;0;1;1;2;1;NA;NA;NA;2;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;2;2;NA;NA;NA;NA;NA;;1;2;1;2;2;2;2;2;2;2;;1;1;0;1;0;0;0;1;0;0;0;Sans Objet;2;3;20;1;Sans Objet;Sans Objet;1;Sans Objet;2;Sans Objet;2;Sans Objet;Sans Objet;STUD;Sans Objet;Sans Objet;Sans Objet;Sans Objet;Sans Objet;Sans Objet;Sans Objet;STUD;1;1;1;1;2;2;Sans Objet;12,5;250;12,5;250;3;1;4;1;3;1;3;1;3;3;3;4;3;3;3;4;4
